date,open,high,low,close,volume,tic,day
1993-05-10,1.76307,1.77368,1.7590400000000002,1.7590400000000002,0,EURAUD,0
1993-05-11,1.7590400000000002,1.76988,1.7438,1.7438,0,EURAUD,1
1993-05-12,1.7438,1.75541,1.73909,1.75541,0,EURAUD,2
1993-05-13,1.75541,1.76368,1.74637,1.74637,0,EURAUD,3
1993-05-17,1.74041,1.7738,1.74041,1.76738,0,EURAUD,0
1993-05-18,1.76738,1.78371,1.76738,1.78371,0,EURAUD,1
1993-05-19,1.78371,1.78501,1.76048,1.76048,0,EURAUD,2
1993-05-20,1.76048,1.76761,1.74957,1.74957,0,EURAUD,3
1993-05-24,1.75883,1.75883,1.73603,1.73603,0,EURAUD,0
1993-05-25,1.73603,1.75175,1.73603,1.75175,0,EURAUD,1
1993-05-26,1.75175,1.79483,1.75175,1.79483,0,EURAUD,2
1993-05-27,1.79483,1.837,1.79483,1.837,0,EURAUD,3
1993-06-01,1.82646,1.83404,1.82646,1.82974,0,EURAUD,1
1993-06-02,1.82974,1.83056,1.79113,1.79113,0,EURAUD,2
1993-06-03,1.79113,1.81623,1.79113,1.81623,0,EURAUD,3
1993-06-07,1.82096,1.83077,1.8107,1.8107,0,EURAUD,0
1993-06-08,1.8107,1.81449,1.79836,1.80207,0,EURAUD,1
1993-06-09,1.80207,1.81628,1.8010000000000002,1.81628,0,EURAUD,2
1993-06-10,1.81628,1.81871,1.80032,1.80032,0,EURAUD,3
1993-06-14,1.80005,1.80219,1.77084,1.77084,0,EURAUD,0
1993-06-15,1.77084,1.77504,1.77084,1.7735800000000002,0,EURAUD,1
1993-06-16,1.7735800000000002,1.78626,1.75847,1.75847,0,EURAUD,2
1993-06-17,1.75847,1.7674,1.74058,1.74058,0,EURAUD,3
1993-06-21,1.71219,1.73933,1.71219,1.72644,0,EURAUD,0
1993-06-22,1.72644,1.75134,1.72644,1.72854,0,EURAUD,1
1993-06-23,1.72854,1.75327,1.72854,1.74797,0,EURAUD,2
1993-06-24,1.74797,1.7495500000000002,1.74171,1.74577,0,EURAUD,3
1993-06-28,1.75628,1.76023,1.74312,1.74312,0,EURAUD,0
1993-06-29,1.74312,1.76289,1.74312,1.75593,0,EURAUD,1
1993-06-30,1.75593,1.76202,1.74649,1.75041,0,EURAUD,2
1993-07-01,1.75041,1.7643600000000002,1.72876,1.72876,0,EURAUD,3
1993-07-05,1.72876,1.74009,1.71699,1.71699,0,EURAUD,0
1993-07-06,1.71699,1.72617,1.71053,1.71053,0,EURAUD,1
1993-07-07,1.71053,1.7173500000000002,1.67899,1.67899,0,EURAUD,2
